[2026-05-21T06:00:35.985Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/vendors-node_modules_sensd_icons_es_icons_BackNavigateOutlined_js-node_modules_sensd_icons_es-a98d0f.98923bc7.js → pending (?ms, ?B)
[2026-05-21T06:00:35.987Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/src_index_js-src_assets_loginBg_svg-src_assets_logo_svg-src_assets_no_found_jpg.3b9c0c0d.css → pending (?ms, ?B)
[2026-05-21T06:00:35.987Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/src_index_js-src_assets_loginBg_svg-src_assets_logo_svg-src_assets_no_found_jpg.ebb595d5.js → pending (?ms, ?B)
[2026-05-21T06:00:36.053Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_html2canvas_html2canvas.7b6c4cbc.js → pending (?ms, ?B)
[2026-05-21T06:00:36.054Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_ahooks-_05a11.5f339f59.js → pending (?ms, ?B)
[2026-05-21T06:00:36.058Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_fflatem_browser.ee4f1728.js → pending (?ms, ?B)
[2026-05-21T06:00:36.059Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_react-to-pdf_nmpdfpdf_min.d4dcfbab.js → pending (?ms, ?B)
[2026-05-21T06:00:36.060Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_sef__sef_entry_module.24da6bd0.css → pending (?ms, ?B)
[2026-05-21T06:00:36.062Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/nm_sef__sef_entry_module.24da6bd0.js → pending (?ms, ?B)
[2026-05-21T06:00:37.071Z] POST https://westkdemo.sensorsdata.cn/api/v2/sbp/errorcode/report → 200 (124ms, 21B)
[2026-05-21T06:00:37.294Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/54336810786b8741.svg → 200 (79ms, 28772B)
[2026-05-21T06:00:38.462Z] GET https://westkdemo.sensorsdata.cn/sbp/static/_sbp_com-compatibility-reminder_src_index_ts.3c7fdd36.js → pending (?ms, ?B)
[2026-05-21T06:00:38.843Z] GET https://westkdemo.sensorsdata.cn/sbp/static/compatible_reminder_config_json.a094e539.js → 200 (71ms, 409B)
[2026-05-21T06:16:37.606Z] GET https://westkdemo.sensorsdata.cn/report/?project=mpdev&product=sbp_family → 302 (194ms, ?B)
[2026-05-21T06:16:37.801Z] GET https://westkdemo.sensorsdata.cn/login/index.html?to=%2Freport%2F%3Fproject%3Dmpdev%26product%3Dsbp_family&project=mpdev&product=sbp_family → 200 (525ms, 57082B)
[2026-05-21T06:16:38.436Z] GET https://westkdemo.sensorsdata.cn/sbp/static/sa-sdk-javascript.5369694c.js → 200 (?ms, 187181B)
[2026-05-21T06:16:38.436Z] GET https://westkdemo.sensorsdata.cn/sbp/static/main.735c315a.css → 200 (?ms, 1030970B)
[2026-05-21T06:16:38.437Z] GET https://westkdemo.sensorsdata.cn/sbp/static/en-us.0bc516a965591a65174ea778f83f5186.js → 200 (?ms, 32326B)
[2026-05-21T06:16:38.438Z] GET https://westkdemo.sensorsdata.cn/sbp/static/main.ec867b32.js → pending (?ms, ?B)
[2026-05-21T06:16:38.739Z] GET https://westkdemo.sensorsdata.cn/sbp/static/src_style-importer_js.48075b9c.css → 200 (1ms, 8682B)
[2026-05-21T06:16:38.741Z] GET https://westkdemo.sensorsdata.cn/sbp/static/src_style-importer_js.9656e097.js → 200 (?ms, 157B)
[2026-05-21T06:16:38.741Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/extension._sensorsdata_scene_workbench_extension.js?_v=0.04858126894313208 → 200 (286ms, 78351B)
[2026-05-21T06:16:38.742Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/intl/en-us.json?v=1779344198715 → 200 (261ms, 18490B)
[2026-05-21T06:16:39.002Z] GET https://westkdemo.sensorsdata.cn/modules/sbp/_sbp_unit_passport/intl/en-us.json?v=1779344198999 → 200 (468ms, 22794B)
[2026-05-21T06:16:39.010Z] GET https://westkdemo.sensorsdata.cn/modules/saiext/_sens_extension_sensors_ai_assistant/extension._sens_extension_sensors_ai_assistant.js?_v=0.6756696768344065 → 200 (469ms, 116939B)
[2026-05-21T06:16:39.056Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/ange-picker_lib-nm_sc_rule-editor-realtime_-21acc9.b6fe45d7.js → 200 (?ms, 1665920B)
[2026-05-21T06:16:39.059Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_ctrl_tinycolor_module_public_api.d38dc6f1.js → 200 (?ms, 19086B)
[2026-05-21T06:16:39.061Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_slot-manage-_75cd1.4dd73bb9.js → 200 (?ms, 25368B)
[2026-05-21T06:16:39.062Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/vendors-nm_xlsx_xlsx.480ac4d4.js → 200 (?ms, 1296906B)
[2026-05-21T06:16:39.063Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/_f6a4-_9ac9-_2887.813759e0.js → 200 (?ms, 200B)
[2026-05-21T06:16:39.064Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_sef_crypto-js-trimed_crypto-js-trimed_min.acbf06a4.js → 200 (?ms, 22239B)
[2026-05-21T06:16:39.065Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_sdutils_nm_immer_immer_module.e379bccd.js → 200 (?ms, 19205B)
[2026-05-21T06:16:39.067Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_react-windowm-_b85b1.9ec5bdc9.js → 200 (?ms, 25851B)
[2026-05-21T06:16:39.068Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_dom-align-web.bdefed5c.js → 200 (?ms, 13634B)
[2026-05-21T06:16:39.068Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_rc-align-_fdee0.47eb2202.js → 200 (1ms, 26489B)
[2026-05-21T06:16:39.069Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_rc-animate_Animate-_72420.6330a71d.js → 200 (?ms, 31782B)
[2026-05-21T06:16:39.070Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_rc-trigger-_d8a61.90b9ae89.js → 200 (?ms, 50062B)
[2026-05-21T06:16:39.074Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_rc-calendar-_2b4e1.e5ac0a11.js → 200 (?ms, 54325B)
[2026-05-21T06:16:39.076Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_resize-observer-polyfill_ResizeObserver.5203d6aa.js → 200 (1ms, 8022B)
[2026-05-21T06:16:39.079Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_intersection-observer_intersection-observer.c2bde562.js → 200 (?ms, 9145B)
[2026-05-21T06:16:39.080Z] GET https://westkdemo.sensorsdata.cn/api/v2/sbp/ui-extensions/scene_workbench_extension/nm_ahooks-_100f1.f0e78f84.js → 200 (?ms, 85095B)
